Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-05-12,-0.172327408,-0.149962011,-0.139463906,21,100
Market-Adjusted Model,10028,2022-05-12,-0.044401547,-0.00769339,-0.011538045,21,100
Market-Adjusted Model,10032,2022-05-12,0.064432993,0.0953847088,0.0972964951,21,100
Market-Adjusted Model,10044,2022-05-12,-0.011940291,0.0271703696,0.0209232108,21,100
Market-Adjusted Model,10051,2022-05-12,-0.023114425,0.0174132595,0.0097490773,21,100
Market-Adjusted Model,10065,2022-05-12,-0.037672122,-0.00537224,-0.00480862,21,100
Market-Adjusted Model,10066,2022-05-12,-0.053521142,-0.008923564,-0.02065764,21,100
Market-Adjusted Model,10104,2022-05-12,-0.041466001,-0.008613771,-0.008602499,21,100
Market-Adjusted Model,10107,2022-05-12,-0.058862944,-0.025513318,-0.025999442,21,100
Market-Adjusted Model,10113,2022-05-12,0.0382433647,0.0699479453,0.0711068668,21,100
Market-Adjusted Model,10138,2022-05-12,-0.025408169,0.0133683226,0.0074553328,21,100
Market-Adjusted Model,10145,2022-05-12,0.0414859852,0.0724794215,0.0743494873,21,100
Market-Adjusted Model,10158,2022-05-12,0.1163734818,0.1669984963,0.1492369838,21,100
Market-Adjusted Model,10200,2022-05-12,0.0105390384,0.0487398796,0.0434025404,21,100
Market-Adjusted Model,10207,2022-05-12,-0.005793764,0.0253556707,0.027069738,21,100
Market-Adjusted Model,10220,2022-05-12,-0.025077811,0.0075337193,0.007785691,21,100
Market-Adjusted Model,10232,2022-05-12,0.0013047247,0.0400879566,0.0426084871,12,100
Market-Adjusted Model,10252,2022-05-12,0.068911916,0.0975162401,0.101775418,21,100
Market-Adjusted Model,10253,2022-05-12,-0.149811093,-0.097787704,-0.116947591,21,100
Market-Adjusted Model,10257,2022-05-12,0.0174306223,0.0658632735,0.0502941244,21,100
Market-Adjusted Model,10258,2022-05-12,-0.156893784,-0.123573723,-0.124030282,21,100
Market-Adjusted Model,10294,2022-05-12,0.1765178625,0.2084118131,0.2093813645,21,100
Market-Adjusted Model,10308,2022-05-12,0.0111688755,0.0425681745,0.0440323776,21,100
Market-Adjusted Model,10318,2022-05-12,0.0040469908,0.0352480563,0.0369104929,21,100
Market-Adjusted Model,10333,2022-05-12,-0.134140456,-0.099790332,-0.101276954,21,100
Market-Adjusted Model,10355,2022-05-12,0.0306130279,0.0707433799,0.0634765299,21,100
Market-Adjusted Model,10382,2022-05-12,0.2552657108,0.2623662014,0.2881292129,21,100
Market-Adjusted Model,10397,2022-05-12,0.0454312292,0.0808087234,0.0782947312,21,100
Market-Adjusted Model,10421,2022-05-12,-0.117398943,-0.087097532,-0.084535441,21,100
Market-Adjusted Model,10443,2022-05-12,0.0758486036,0.1045444181,0.1087121057,21,100
Market-Adjusted Model,10463,2022-05-12,-0.110497203,-0.083843635,-0.077633701,21,100
Market-Adjusted Model,10501,2022-05-12,0.0922687321,0.1252316473,0.1251322341,21,100
Market-Adjusted Model,10514,2022-05-12,-0.336037014,-0.253333969,-0.303173512,21,100
Market-Adjusted Model,10516,2022-05-12,-0.055488126,-0.023553874,-0.022624624,21,100
Market-Adjusted Model,10517,2022-05-12,0.1063497988,0.1488050019,0.1392133009,21,100
Market-Adjusted Model,10530,2022-05-12,0.026921597,0.0625047097,0.0597850991,21,100
Market-Adjusted Model,10547,2022-05-12,0.0944332064,0.1351777954,0.1272967085,21,100
Market-Adjusted Model,10550,2022-05-12,0.0543847915,0.1075905926,0.0872482935,21,100
Market-Adjusted Model,10606,2022-05-12,-0.013581256,0.0204145431,0.0192822463,21,100
Market-Adjusted Model,10629,2022-05-12,0.0143702487,0.0463078471,0.0472337507,21,100
Market-Adjusted Model,10645,2022-05-12,0.0763406333,0.1044626932,0.1092041354,21,100
Market-Adjusted Model,10649,2022-05-12,-0.012102368,0.0343769772,0.0207611345,21,100
Market-Adjusted Model,10661,2022-05-12,0.0309278074,0.07114975,0.0637913094,21,100
Market-Adjusted Model,10693,2022-05-12,-0.018856409,0.0133536836,0.0140070933,21,100
Market-Adjusted Model,10696,2022-05-12,-0.01624888,0.0194408028,0.0166146219,21,100
Market-Adjusted Model,10777,2022-05-12,0.1001418687,0.1325443835,0.1330053708,21,100
Market-Adjusted Model,10779,2022-05-12,0.1300432944,0.1816594092,0.1629067965,21,100
Market-Adjusted Model,10781,2022-05-12,-0.014409222,0.0175113733,0.0184542799,21,100
Market-Adjusted Model,10812,2022-05-12,0.0386861095,0.0702037094,0.0715496115,21,100
Market-Adjusted Model,10860,2022-05-12,-0.309329016,-0.308750128,-0.276465514,21,100
Market-Adjusted Model,10866,2022-05-12,0.1977400864,0.2560785633,0.2306035885,21,100
Market-Adjusted Model,10874,2022-05-12,0.0052721325,0.0466620483,0.0381356346,21,100
Market-Adjusted Model,10886,2022-05-12,-0.28315412,-0.265527687,-0.250290618,21,100
Market-Adjusted Model,10890,2022-05-12,-0.32098765,-0.33856748,-0.288124148,21,100
Market-Adjusted Model,10892,2022-05-12,0.044755364,0.0770129961,0.077618866,21,100
Market-Adjusted Model,10901,2022-05-12,-0.142172509,-0.117552193,-0.109309007,21,100
Market-Adjusted Model,10909,2022-05-12,0.0079957352,0.0364079469,0.0408592372,21,100
Market-Adjusted Model,10932,2022-05-12,-0.011764458,0.0229946758,0.0210990436,21,100
Market-Adjusted Model,10933,2022-05-12,-0.016392675,0.0148727981,0.0164708267,21,100
Market-Adjusted Model,10952,2022-05-12,-0.0622363,-0.03201931,-0.029372798,21,100
Market-Adjusted Model,10966,2022-05-12,0.3268698181,0.3500105151,0.3597333201,21,100
Market-Adjusted Model,11006,2022-05-12,0.0197910201,0.0564179156,0.0526545222,21,100
Market-Adjusted Model,11018,2022-05-12,0.1337420795,0.1649916092,0.1666055815,21,100
Market-Adjusted Model,11043,2022-05-12,-0.029399975,0.0035544651,0.003463527,21,100
Market-Adjusted Model,11144,2022-05-12,0.16650937,0.1971894986,0.1993728721,21,100
Market-Adjusted Model,11153,2022-05-12,0.0836120467,0.1198789107,0.1164755487,21,100
Market-Adjusted Model,11154,2022-05-12,0.3400133096,0.351596634,0.3728768116,21,100
Market-Adjusted Model,11174,2022-05-12,0.3221999408,0.3602737918,0.3550634428,21,100
Market-Adjusted Model,11203,2022-05-12,0.0698445496,0.101300506,0.1027080517,21,100
Market-Adjusted Model,11208,2022-05-12,0.0587566812,0.0901860048,0.0916201833,21,100
Market-Adjusted Model,11264,2022-05-12,-0.272554014,-0.163256019,-0.239690512,21,100
Market-Adjusted Model,11267,2022-05-12,-0.035424392,0.0020825587,-0.00256089,21,100
Market-Adjusted Model,11275,2022-05-12,-0.228373715,-0.187044429,-0.195510213,21,100
Market-Adjusted Model,11285,2022-05-12,-0.012263374,0.0193665075,0.0206001285,21,100
Market-Adjusted Model,11292,2022-05-12,-0.147088826,-0.121428165,-0.114225323,21,100
Market-Adjusted Model,11293,2022-05-12,0.0195062315,0.049544894,0.0523697335,21,100
Market-Adjusted Model,11308,2022-05-12,-0.019218952,0.0137634504,0.0136445497,21,100
Market-Adjusted Model,11343,2022-05-12,0.0300690579,0.0592336891,0.06293256,21,100
Market-Adjusted Model,11368,2022-05-12,-0.067164183,-0.025361019,-0.034300681,21,100
Market-Adjusted Model,11369,2022-05-12,0.0922530735,0.1191475724,0.1251165756,21,100
Market-Adjusted Model,11370,2022-05-12,-0.167598424,-0.140686078,-0.134734922,21,100
